Summary,Review,Rating
Love it!,"Walmart managers are the best I've ever worked for. I have been through 3 management transitions and every manager was concerned about my happiness, stress levels and professional development",5
"Great culture, professional development available, amazing benefits",Best managers ever! I've been through management transition 3 times and all have been some of the best managers I've worked under. Walmart strongly encourages professional development and provides the tool chest and coaching to do so. ,5
Productive driven,"Flexible work schedule in some areas. Good teams if you can find your spot, but they don't want you to stay. They want you to improve your skill sets but also wants you to have daily task completed, no wiggle room.",4
Mixed Bag,The pay is competitive/ better than competitors. But non financial benefits are a more expensive and management does a poor job investing in their team ,3
Good place to learn,"Good place to learn about merchandising, retail and eCommerce. A bit impersonal as many massive companies are, but the flip side is there are massive opportunities to grow. Bentonville Arkansas is tough, but if you can get over that the pay is good and there are plenty of opportunities.",3
"Hard work , good benefits , high turnover.",Long hours and short breaks. Pay and benefits are all decent . The retention rate for new hires at these warehouses is incredibly low; don't be surprised if multiple co-workers quit sooner than you.,3
Horrible politics,"One person does 10 peoples work. They hire people in India to cut costs which means you are working in 2 opposite time zones. You can work your tail off but dare you rub someone the wrong way by even expressing an opinion that is different than yours and you can say bye bye to your job. The only good thing is work from home otherwise the work hours are ridiculous, politics is insane, culture is toxic and leadership has very fragile egos.",1
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Well paid but stressful,"You work on huge programs.  Direct managers generally are pretty good.  Hit or miss on the VP's, but executive leadership is pretty great.  Pay was good, but you pay for it through hours worked and stress.  I liked my colleagues.  ",3
Good transition job,I worked for Walmart information systems for a couple of years. I will state the pros and cons Pros:1. Big projects with huge ROI2. High maturity when it come to information systemsCons1. Pay is average or below even for IT Professionals. Consider the amount of out of pocket that you have to pay for healthcare2. Horrible health insurance. Walmart has catastrophic health insurance where alot of things are not covered. The premiums are not cheap.3. Alot of bad politics especially from management. 4. Expect to be laid off at anytime. Layoffs at headquarters happens very often for restructuring. The emotional stress is not worth it,1
Great Opportunity,Great company to work for. Challenging environments at time but the sky is the limit on what you can do. If you dedicate yourself and position yourself with the right leadership success will follow.,4
"Poor Management, Supervisors with attitiudes, ","Working at Walmart was one of those get your feet wet type of jobs. I enjoyed it at first, but quickly came to realize that Walmart was only about their money and nothing else. The management sucks, the pay sucks, and they have absolutely no care for your health or well being, They allowed Supervisors to lie and force you to work off the clock "" or you can quit"" There were times when you were gas lighted by a supervisor and it felt like you were in an abusive, manipulative relationship with your job.  LOTS of favoritism. ",1
Typical retail,Was an ok experience for my first job. Took this position right out of school. Always had IT request backlogged and customers how were upset about wait times.,4
Terrible HR department,"Walmart isn't the same anymore. Now, you are just a number, especially if you are hourly or entry level management. They work hard to give out the false sense that you matter, and that they (HR) care about you, but in reality they don't. Your coworkers and managers might actually care about you, but definitely not HR. You can be fire out of the blue without warning, without disciplinary action, and regardless of your performance.  ",2
productive and fun workplace with lots of overtime,work as an unloader and hauler. long hours on your feet but really good pay and management cares about you and wants you to succede the best you are able to ,4
Good place ,"Good place to work depending on managers. Walmart was very fun to work at but sometimes the managers would take advantage of you if they saw you working hard. Pushed a lot and bossed around but pretty much you get to vibe alone when you're a stocker, unless there's 2 people per",5
They don't care about the people,The only care about $$$$ . If you don't make the numbers that you need to make your fired. It's all about quality it's about shoving in the numbers and the orders as fast as possible.,1
You are just a number,"Walmart may pay well at the corporate level but that’s about as far as it goes. Your dedication and time mean nothing to them. They lay off consistently and cut positions. There is no loyalty with this company. While they embrace diversity now only after what has happened in this country, they don’t promote fairly regardless. Stay away from this place like the plague. ",1
Not my favorite job,Micromanaged to death and nit picked about everything.  I liked my manager and their bosses are great but the lower/middle management team are almost impossible to deal with.  Being the 3rd party employee made me an easy target to unleash corporate frustration on,3
"Great Coworkers, ","When I started was a great place to work for, hourly's were treated great, not so great now, dont really value their long term/loyal associates getting rid of jobs.",3
Horrible backstabbing management,"I used to be so pro Wal-Mart. Now I would not recommend them.  The core values of this company are wonderful, unless you get a manager that only speaks the values but doesn't practice them.  Sam Walton would be so dissapointed in seeing what he built turn sour with the management.",2
Walmart is stable,"Good company to work for but it isn't easy, you have to pay attention and in training you won't feel ready but they will still start you so you learn more as you start working.",4
Great place to work,"Not perfect by any means, but exciting environment, an amazing culture of respect and striving to be better every day. There is so much to learn about the company's efforts to become even more competitive!",4
Fortune 1 for a reason,I worked for Walmart for 5 years and during that time I had the opportunity to learn from and meet many noteworthy individuals. Working for Walmart is definitely like being part of a family. There is endless room to grow if you want. Walmart values their employees and makes it a point to help people understand the meaning of their work beyond a paycheck. ,5
I loved the people I worked with,"The negative was you we’re pretty-judged almost right away whether or not you were promotable and once written off, you were going nowhere.  They believe in working you in areas where you haven’t been prior and that creates a lot I’d really unqualified people who don’t know areas they are managing, but overall, there were many more quality managers than at many other corporate offices.There was a great deal of unfairness there.  Two of us did the work of 4 full time people.  I sadly had to leave.",4
Fun ,"Its ok company.  They lay off constantly. Good benefits, good people. You need to know people on order to grow in this company . I had a great Boss....",3
Great corporate culture,Leadership is very approachable and my work feels purpose driven. I feel like the work I do here has a big impact and I’m proud of what we’re doing as a company. ,4
Great company,Love the management and company. Easily move up in ranks. Great customer service and strong bonds. Would highly recommend employment to anyone looking for a job.,5
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Walmart ,"It’s a good job, just not the place it is to be when Sams was alive, but the new drivers have to slip seat a couple times a week. New drivers will be starting their work week on the weekends. ",4
Imagine having a migraine everyday but it's a store.,If you think you can keep overtime if asked to stay late then never apply. If you like spending the holidays with your family then go somewhere else. If you hate doing other peoples jobs then leave immediately. Oh and if you miss high school drama then Walmart is the place of your dreams.,1
"Good Stopgap, But Don't Stay Too Long","Three-day work week, paid workout, able to wear whatever I want, water constantly available, huge safety measures. Good pay for those looking to enter the workforce but not the greatest pay.",4
company with good culture/Reorg every so months,"Overall, great company in the 17 years I worked there I learned a lot in the department I worked in. I remember individuals who had long careers and growth. However, that has changed and like many companies reorgs are plenty. In the last 10 years, Walmart has transformed itself from a homey large company to an international giant and competitor. As a minority that helped shape the culture too, it felt more inclusive. ",3
"Weak company culture, with little integrity","Management backing is just words. When the chips are down, management disappears.  The company demands mediocrity. I have never seen a single IT person that was allowed to do what they were best at. Careers are ruined in the first three years by keeping employees away from their interests. Your skills will be atrophied and you will not be able to leave Bentonville once that happens. The pay is great. Bonuses are fantastic.  If you can justify that to sell your career down the tubes, Walmart is perfect. If you have any creativity or ability, stay away. Keep your head down and make no mistakes. ",1
You are expendable,"They have no concern for you or your needs whatsoever, they do not work with you at all and the training was often incorrect and you could not actually help the store employee solve the problem they were calling about. The people that listened to your calls and review your performance all had their own set of requirements and scored you by them so you could never get it right. ",1
Great culture and great coworkers,"Good work life balance, incredibly nice and friendly coworkers. Good budget to do the work that I want to do. Great women’s network as well. Learned a lot while working there.",5
Great place to work,Great place to work. I've been with Walmart since I graduated in 2015. Been through three promotions in 5 years. Currently working as data scientist. My manager cares about me and helps me develop. ,5
"Great place to work, but very large",I worked here as an intern in the corporate office. I really enjoyed it. Lots of fun company activities and I loved how collaborative it was. Only downside is how big the company is and the feeling that promotions are increasingly political. It’s the unfortunate reality of being such a high profile and large company in 2020. ,5
Great Training and Good Management,"I worked here for about a year, and the training is awesome. Management is good. Cannot turn down promotions. Every time you receive a pay increase or promotion, you are ineligible to apply for another position within the company for at least 6 months, so do not expect to move up fast. ",4
busy,it was always busy but that wasn't always a bad thing you're day went by fast but management was terrible and they never seemed to be on the same page with each other ,3
Average Corporate Retail IT Job,"Depending on the team you land on you can have a great time or an awful time. The sad truth is that like any corporate, your manager will make or break your enjoyment of your job. Walmart also tries to say they are agile, but often than not, most teams end up doing Agil-fall, and pretend and present like they are agile, but crumple to business users needs and it ends up a bastardized Waterfall project. ",4
Long hours - micromanagement ,"If you want to feel like you're in kindergarten and have every little thing you do be watched by management, this is the place for you to work..if not move right along!",3
Depends where in the company you work at,Some areas of business are treated better than workers from the retail stores. There is more opportunity for advancement and wage increase in the home office than in the stores.,4
Pretty good place to work,"Overall, Walmart is a pretty good place to work, and depending on where within the company you're placed, your experience may be different for the better or worse.",4
Good job but bad management,Overall it’s a good company to work for there’s plenty of job opportunities you can move up in the company or you can stay at store level Walmart even does intern for students it’s also beneficial for people who have been with the company for a while it’s 401k is a good thing to have there are benefits for the part time associates,2
Loyalty is key,"You will work with amazing people and learn new things daily. However, retail is their business so compensation is probably 1/3 of the general market value for technical roles. Annual bonuses used to make up another 1/3 of that, but they have recently changed to making the amount and receipt at all performance based, so it is no longer guaranteed. If you’re confident your manager likes you, it will probably be fine. You’ll generally be working on older stacks and unsupported versions of everything. It is very common to be reassigned to another team our department or even role without being consulted or consenting. ",3
Just Bad!,"I wouldn't recommend working here. Management is bad, they don't respect their employees. Also the salary is a complete job, you can easily get terminated without notice",1
Not bad,I started as a temp technically working for an outside agency which wasn't great because it meant I had lower pay and no benefits but once I was hired directly by Walmart my situation improved. The work at the home office can be tedious in accounts payable but it wasn't particularly stressful.,3
Quality control,"Work-life balanceYou become family, they work with you in any situation.Pay & benefitsExcellentOverallI worked there for 15 years plus 1 year at the store and 10 years at the photo lab, you can advance quickly, transfer to any job you want, lots of opportunities.",5
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
"Not a stable job, does not care for employees","Let's start off by saying Walmart treats the employees like they are disposable. Literally, rips the rug out from beneath them. Firstly, when the company changes direction (no warning just removes people from jobs). Secondly, you have no job security (none). Now let me say I understand a company changes and adapts, but they do this not caring about the people they affect. When I say affect, I mean you come into work and are walked into an office to be let go. They close stores like a hooker gets laid in New York. They take away they put back, but the people they trample on mean nothing. Want to know why because you my friend are just a number. You can be replaced by someone who will do it cheaper. It is so sad to see the Wal-Mart I used to know, turn into a greedy corporate mess. Literally Wal-Mart is a hot mess. Please just get a job somewhere else. I would rather work at a fast food chain than work for Wal-Mart. Seniority this means nothing, as well. Truth hurts Wal-Mart and I just stopped shopping here altogether. You can get your products somewhere else, probably better quality too. Please save yourself the trouble.",1
They like to get people out that have Tenor ,They well do away with the job that you have because of someone taking over in their main office because they want to make their mark they like change but only when they can think of it they do not listen to the associates ,2
Worst place anybody could work,"Managers will avoid you instead of helping you. Management has no idea how to manage and avoid their job requirements the whole time they are there. You can't move up, or around for that matter, and all the managers have inappropriate relations with minors. I had to quit because they wouldn't give me a transfer when I moved an hour from the store.",1
Low Pay for a lot of work,"Wal mart doesn't pay very well. Being such a large company you would think they would pay for quality workers. Working the meat frozen and dairy almost daily by myself, it sometimes becomes overwhelming. This job is definitely more for a high-school, college kid. If you are looking to make a career here I don't think this is the place. ",2
The people who show up for work everyday in spite of the pandemic and do their best to serve the customers well are the rock of this company. ,This company has the vision mission and values that compels me to continue my Servant leadership here. The messages that are communicated by upper level management. ,5
Everyone jumps in to help when a serious situation arises.,The work is demanding and can be taxing yet everyone jumps in to help when a serious situation arises.  Can be hard to let go and end your day.....People treat each other with respect for the most part.Management encourages solutions in lieu of complaints - i.e. don't bring up a problem unless you have a solution.,5
Great place to work,"Love and admire this company, always put this country and associates first.  The CEO is intune with the country and all  Wal-Mart associations.  It’s really a great honor to work for this company.",5
Very little job security but potential for growth,Many opportunities for advancement and new challenges. However time in chair requirement can cause you to be stuck in a job for a long time. Very little job security. Company has had multiple large restructures which displaces many individuals. Stress level is very dependent on team and part of the company. Generally a really good place to learn. ,3
Good,Great work culture with great innovative team. Good compensation along with stock options and health insurance along with 401k .World's biggest Retail company and biggest employer and cross functional team working exp is valuable,4
I enjoyed my team but being contract for a 12 month project that went for 15 months I felt I was not sure any longer of my faith in leader,"I really loved my job but was a Temporary Contract with all positive reviews and comments for permanent role.  I waited 3 months after my 12 month contract and the lag time became stressful.  No perks, bonus PTO etc.  I am sorry and I have great references but just my leadership lacked strength in my humble opinion.",3
The settlement position,"Alot of steps in the process Alot of communication with suppliersMust be detail orientedMust be organizedTeam atmosphere was greatWork schedule was flexible",2
Ok Place to work,Depending on where you are working for Walmart it can both be a fantastic place and a little bit of rough the all in all it's a good job to have good management,3
Fun working for and feel like we were all a big family,Walmart was good to work for friendly family oriented n cared about there associates. Since times are changing we were out sourced to Genpact  Wish they had never gone in that direction ,5
good,Good benefits. New structure of the systems that they change the job codes of the job. Hired new people without experience and train them. Days off are split,3
A lot to learn,Wonderful hours and my coworkers were the best. I learned a lot about billing and speaking to vendors. I was able to speak to Hr without worrying about anything.,5
Productive,"Nice place to work, good work life balance.  Lots of travel involved with some positions.  Sometimes work life balance is tested however pretty strict.  Good people to work for and definitely a great company",4
Terrible,They only care about you as a cog in their big corporate machine. The constant propaganda you're subjected to will make you numb. The florescent lights mess up your sleep schedule.,1
Awesome Company,Awesome Company and i would love to work for  this company. office culture was great and we can learn new technologies and always inspiring work culture ,5
it's okay job,like the people i work with my place very fast paced all about meeting the metrics even when understaffed good team effort was easy for me to advance mainly cause of work ethic i show up and work hard,3
Most toxic environment I have worked in over the last 35 years of my career,"I bought into the whole people friendly company that believed in work life balance. I have never worked in a more toxic environment. Much of this was do to my management and that when I spoke up about the issue, I was fired.",1
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Reviewing,Typical workday 8-5:30 but during busy time of the month be prepared to work u til the job is done. Work life balance is not great several nights working past 6,2
Bad management.,"Everyday it is something new. People who are over aggressive get away with whatever they want, like a sense of entitlement. They can push management to not do their jobs and push it onto others. Eventhough there is a one best way no one is allowed to follow it. No accountability.",1
Worth the experience,I loved working here and my job duties. The only con i had was that some coworkers liked to complain and management didnt stoo them and often repromanded the wrong people.,4
Walmart cares about the costumers!,Walmart can be a great place to work! They care about the costumers. They want you to be able to be yourself at work. Sometimes you will run into associates/managers who will not treat you right and that is why Walmart has the “open door policy” for me at my job location the open door policy is a great thing!,3
Working conditions within the company,"The most disappointing thing about walmart is there are cliques that work against good workers.People don't like to see others get ahead.The most enjoyable part of my time there was meeting new people in other stores.",3
Terrible company to work for if you’re a temp.,"They really don’t care for the temps when it comes to advancement, benefits or compensation. Leadership is a joke and Open communication doesn’t exist.",1
Private contract,Poor culture and communication. I was unable to work hands on with company leaders to extend the contract and had many inquiries passed over. It was a great but daunting experience.,3
Excellent place to work.,Walmart has an inclusive culture like no other.  The opportunities  and possibilities are endless.  They have great leadership that work to grow and promote their people.  I started my career with Walmart very young and was able to promote and grow with the company for many years.  I strongly recommend working at Walmart who wants to succeed in their career.,5
It was a really great place to be.,"The work-life balance was excellent, and I absolutely loved my managers when I worked there.  I think they really had me work on some important projects, and it never felt like I was rushed or anything was overbearing, and I wish I could've been there longer. My only issue was that because it was around the end of the financial quarter, they had to make some cuts when I had only been contracted under them for a couple of months, so it was really disappointing that  they had to let the contractors on our team go, but I loved my time there.",5
Great learning experience as a store remodeler,"All over Management needs management training in all areas...the local tech schools offer excellent Manager and leadership training courses, also more hands on training and better communication skills would be helpful",3
Everyone is always getting each other,"At Walton neighborhood Walmart everyone is always happy to help each other and greet without fail. The bad is sometimes it is hard to get a hold of HR but that is because they are very busy.",4
Csr,Working as a CSR at Walmart I felt overall like I was making a difference not only in customers lives but also in the workplace. I loved my job; there are many days I wish I could go back. Also some days are better then others don’t let that discourage you. But one piece of advice I can give is keep your head down and just focus on your job. Rumors fly around at warp speed there. It’s the reason I left.,5
Nice to work,"I had a good learning experience. Work Life balance is good.Many options to explore internally for a Software Engineer.But, bit outdated with technology and ways of doing things.",4
Bad company,"I had a very bad experiencePeople don't have ethicsPeople are illtreatedlot of discrimination between associates and contractorsno sense of belongingnessbad management",1
Great College Job,For a college kid still in school it was a great job. The task where very easy to accomplish each day and you felt like you where just spinning the wheel that makes Walmart move.,3
Good company to work,Nice environment and very flexible for people to work and mostly encouraging people and takes up the tasks based on the priority. Long working hours but flexible in most of the times,5
"Fun place, great environment and friendly scrum master.","It was an amazing place to work specially the team members, leads, scrum master and everybody was very helpful and friendly. Whoever seeking to work here will not have any issue.",5
"Productive, Customer Friendly, fun place to work","I have been a part-time employee at Walmart for almost 9 years. I've seen a lot of change. Some of the change seems good and some seems questionable. But at the end of the day, I like working for Walmart a lot.",4
Productive and fun workplace,A lot of room to grow and different areas to learn and expand skill set. Different teams and great workplace environment. Huge work space and giant facility. Great company and good people.,5
Great place if you are workholic.,"Great place if you are workaholic. Especially if you are in IT and work for any major project like NEX Gen pricing. I had a great time working here, learnt a lot and all tasks were challenging. working one year is equivalent to working 5 years for the sake of experience and exposure.",4
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Company cares about associates and customers,"During this tough time, Walmart has shown that it cares about its associates as well as its customers.  It has stepped up on many fronts over the years.",5
productive,"A typical day as a pharmacy technician: There are many areas you must work during the course of a day.  The technicians must rotate from filling prescriptions to inputting the prescriptions to working at the counter serving the patients.  Being precise is key. The hardest part is, there is no room for mistakes while working with medication for a patient.  While we are working under the direction of the Pharmacist a technician  must also be aware that mistakes could cost the health of a patient.  Depending on which pharmacy one is working in, it can be fast pace. The phone never stops ringing. Most prescriptions are done now electronically rather than called into by the doctors office. Many changes have been made to enhance patient safety.",4
Great company with Great culture.,"Great culture. Many different growth opportunities to pursue. Mentorship available. Northwest Arkansas is a great place to live, and getting better. Opportunity to feel good about what you do, each day.",4
Plenty of work but little work life balance,They pay well and have a great culture. The culture is eroding with managers and higher level leaders who don't align with Sam Walton's vision anymore.,2
Be prepared to find another job without much notice,their upper management is so arrogant that they are the #1 company that there is no room for improvement.  drink the kool-aid or get out.  there is constant change in org structure,2
"Sometimes monthly birthdays, employee anniversaries are celebrated, and on rare occasions ""associate of the month"" gets recognized","Tasks are generally according to area assignment with additional tasks varying. Hours sometimes get changed, reduced,or schedules get rearranged according to necessity. Associates are required to be flexible to sudden task changes.",3
WalMart is an Innovative company and is a wealth and health bank of growth and opportunities,"Great place for a first job, first Customer Service experience;for building business development management skills, great flexibility for second job-ers, retirees, and homemakers. It also can be a fun place to work as you greet and meet a diversity of customers and people.",5
Ethics,"Family oriented, ethics, and consistently treat the employees fairly. Management is engaged with team members and provide exceptional mentors to promote from within.",5
Driven by numbers,"A typical day at work, check email and respond. Work the critical propriety list down to the lowest priority. I learned adaptability while working in the temporary department and flexibility with all the changes. Management is great when not micromanaging others. The most enjoyable part of the job was working in an open area.",3
Great culture within the InfoSec department,"Walmart has been a fantastic place to build my Cyber Security career. The culture of the company is well represented and the work life balance is excellent.",5
Corporate Eval,It has many ups and several downs. The main issue is immediate managers. When you have a bad one it sucks. Bad means = no values and will throw you Under the bus to save face. There should be manager Evaluations.,3
It is what you make of it.,"Like any company I had good Managers and bad. The beauty if WalMart is if you don’t like you boss or the job you are doing , transfer elsewhere. I will tell you you will run across some poor managers from time to time, however they don’t last long.",4
They dont care about employees at all,This company only cares about the bottom dollar. The walmart that Sam Walton started is no longer alive!!! Stay away if you value your life and career.,1
All work no Play,"Very political work environment. Must be there early and work late. If you aren't brown nosing with upper management, you likely will never advance in this company",1
Poor poor management,They literal set me up to fail. Management is suppose to manage not be a person social club. They also insulted the way I look at every point they could make. Terrible.,1
Good to work in large retail comp,"Good to work in large retail company, good opportunities. Well recognitions. Performed auditd, SOX compliences with out any  findings. ENjoyed working here.",5
No job security,they will change corporate direction and dissolve job positions without warning . They do not reward hard work like many other companies. You are just a number to them,2
I wouldn't recommend this company to anyone,Have worked for this company twice. Both times I was fired from the company just before hitting my 5 year mark. Both times I was not given a reason for being fired.,2
It's not a good place to work for.,The management is horrible. Only care about themselves. You try and work with them on hours and work but a lot of the time they act like they care but in reality they don't.,3
A good place to work with a good experienced team.,"This is a great place to work, I have an amazing team with a mix of Jr and Senior developers. Learned a lot from the project I worked on with challenging tasks to help you grow.",4
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Productive and Fun to work Environment,"I worked at Walmart from past 8 months. Pros Nice facilities, benefits, friendly place to work, inclusive culture, different events to keep people engaged. Cons Occasionally working long hours.",5
Good company,"Great folks, challenging but fun environment. Best place i have worked for. Good time off policy and helpful with fmla and other life occurrences. Diverse culture and great partner.",4
It’s fun,It’s a great time working with the people around and also my manager that is good at what he does. It’s been a great experience so far and definitely like waking up to go to work,5
Be cautious when working for home office,"Walmart is a good company to work for. However, with the high amount of layoffs, and outsourcing of jobs, it's not a stable place of employment. Compensation is very good.",4
It is based on production,"not everyone is cut out to work in a distribution facility Not everyone can make productionsummers are really hot winters are really cold the pay is fair",4
Good Entry Level Position,"Working during the Christmas season was challenging. However, you are given the necessary tools and authority to solve problems for the client. If you like helping people you can be a hero for the customer. However, sometimes there is nothing you can do and the customers can be a bit abusive so you have to be ready for that. After the Christmas rush, the job is a breeze.",4
NO way to grow,Even though walmart says that we can grow by switching teams but some teams won't let you move. Also to grow you have get out of the company and join back again.,3
Management conflict,Management had too much miscommunication between themselves and it started affecting basic work. Walmart also has trouble with working with you on your schedule from my experience,3
It’s great.,"It is definitely a great place to start considering that you have an abundance of opportunities to build a career. Should you find your calling, so to speak, within Walmart, you can acquire assistance to achieve your goals.",4
.Reserved,"Pleasant working conditions. Walmart is a place of non-opportunity. Here, you can go as far as your popularity will take you not on your actual performance.",3
Productive and organized,"Went to work with very friendly people, management was nice, and there’s usually room to advance or grow your resume! Provided extensive on-the-job training.",4
Most enjoyable part of my day,The most enjoyable part of my day is knowing that I am making a difference. Walmart is that place where you are always welcomed and always appreciated.,5
Management,It all comes down to your management and who you know.  In 16 years I had 11 managers and only 2 had leadership skills.  It is no longer the company I joined years ago.,3
Productive working with different people to accomplish a task,"I would have a daily meeting with my team and we would discuss safety/ workload for the day and cover any concerns, comments or questions that the team would have.  After the meeting the team would work on the task that was given for the day.  We would try to complete the daily task everyday so we would be on target and finish the project on time. I also would work with the construction company and the store during the entire project so there would be no misunderstanding with the scope of work.  I also would make my own phasing plans if the project was a Special Project to complete on time with the allotted amount  of people assigned to the project.",5
Na,Walmart is a good company to work for.  The associate needs to be diverse in keeping up with technology and with the change in shopping trends of the paying customer.,3
innovative,"Work within company parametersCustomer service throughout projectsManagement can be hands off if adaptability is evidentLeadership is utilized for the benefit of the company Working with people who need assistance in pushing their projects forward",3
Home office is very collaborative and supportive.,"At the Home Office you have the collaboration/support of colleagues in the same role as you (since the company is so large). Your supervisors support you and your career goals and they have your back should any cross functional issues arise. People are friendly, down to earth, and willing to help each other out.",5
Great place,Great company to work for!  Unlimited opportunities for growth and career.  Provides a chance for lifelong benefits.  Provides teaching and training for skills needed to succeed.,5
Working Technical,"Having lots of fun during working hours.provides technical leadership for a variety of application development projects, small work efforts plus production support items. manage technical task with in a standard workflow.",5
Can be a great place to work.,Management culture can make or break the job. Some locations were great to be at. Others the top management less though. During the last Distribution center that building went through 3 different general managers and 3 different assistant general managers in 4 years.,3
Corporate office setting,"This company is very cost conscious, but  tends to promote from within making it a good opportunity for advancement in all areas, even in the retail stores as well.",3
Ex employee,Not all managers walk the talk. But it is a wonderful place to work if you are self motivated.  Find trusted mentors and sponsors..who can speak for you when you are not in the room.,4
You need to make production,They have programs that help when your loved ones are ill.they expect you to do your job and make production. They are strict on tardiness and missed days,4
I miss working there it’s a good place to work you meet all sorts of people,I liked working there it was a good job and you got to meet a diversity of people.everyone got treated the same and with respect no one ever got treated unfairly,5
It's what you make of it,"It can be a career job if you want to pursue positions within Walmart, or it can be temporary. During my time there it was temporary at the time since I was in school.",3
productive and fun working place,"Great place to work,learned  technical information from the workplace, people are more collaborative helping nature inside the teams, strongly suggest for the developers to work here.",5
Stable company with many different jobs,"System engineer is probably like system engineer at other companies. You receive requirements, are assigned coding tasks or support tasks on an agile board, and you fulfill those tasks by code or other ways. Your project may be small or very large. Technology is usually split by what your area does. So you may be a part of Supply Chain or Store systems, etc. Those teams are grouped together as they are similar. The hardest part of the job is the red tape as a large company is very bloated. Your daily tasks may require multiple hoops to jump through to get work done. There will be constant barriers for you to be able to do your job, and with each passing year, there will be even more red tape until you want to scream. The common phrase at Walmart is going ditch to ditch. Like they will do something and that puts everyone in the metaphorical ""ditch"", then they change it and it goes into another ditch the opposite way. Walmart wants development to be agile, but prepare yourself for resistance to be able to be agile, if you ever would be. Tech at Walmart also implemented a bell curve in evaluations. This means if you had a good year, but everyone else on your team is perceived as having a better year, you will not receive a raise and will be deemed as development needed. This has created an environment of nitpicking and finding reasons not to promote, and not to give you a raise. Even if your technical skills are fantastic, your programming and code is amazing, one teeny tiny detail of your year may ruin your whole evaluation. The best part of the job is you usually have a direct - more...",3
